435,284
486,92
171,316
259,297
261,283
457,126
378,159
123,321
289,339
399,273
345,379
93,369
297,18
375,195
98,411
41,126
499,320
221,320
181,205
376,440
105,168
381,25
399,422
88,96
392,404
481,484
366,58
168,256
131,237
86,34
492,431
138,212
195,74
104,32
359,344
403,211
3,201
349,174
73,4
196,303
286,395
167,419
405,54
342,242
222,258
271,485
153,43
387,129
231,476
155,277
413,99
16,264
110,486
371,389
59,124
273,262
449,154
144,79
438,247
190,34
464,253
257,427
475,112
97,4
50,48
364,219
209,403
132,192
208,6
342,306
475,65
410,417
353,138
390,499
91,489
357,302
269,210
351,420
14,189
170,310
382,331
345,216
406,114
349,193
170,469
98,73
317,223
369,336
306,279
216,50
219,42
381,264
178,415
320,420
44,410
437,78
22,406
78,401
364,458
261,288
